BMGs,Preparation method,Dmax(mm),Tg (K),Tx (K),Tl (K),yield(MPa),Modulus (GPa),E(%),Chemical composition,Zr,Ti,Al,Fe,Cu,Ag,Ni,Y,Pd,Nb,Sc,Ta,Co
Zr65Ti2.5Al10Fe7.5Cu10Ag5,As cast,,650.0,710.0,,1450,70.0,12,Zr65.0Al10.0Cu10.0Fe7.5Ag5.0Ti2.5,65.0,2.5,10.0,7.5,10.0,5.0,0.0,0,0,0,0,0,0
Zr70Al8Cu19Ni3,As cast,1.0,630.0,689.0,,,,,Zr70.0Cu19.0Al8.0Ni3.0,70.0,0.0,8.0,0.0,19.0,0.0,3.0,0,0,0,0,0,0
Zr70Al8Cu16Ni6,As cast,6.0,641.0,707.0,,,,,Zr70.0Cu16.0Al8.0Ni6.0,70.0,0.0,8.0,0.0,16.0,0.0,6.0,0,0,0,0,0,0
Zr70Al8Cu13.5Ni8.5,As cast,10.0,625.0,707.0,,1570,82.6,30,Zr70.0Cu13.5Ni8.5Al8.0,70.0,0.0,8.0,0.0,13.5,0.0,8.5,0,0,0,0,0,0
Zr70Al8Cu11Ni11,As cast,8.0,633.0,706.0,,,,,Zr70.0Cu11.0Ni11.0Al8.0,70.0,0.0,8.0,0.0,11.0,0.0,11.0,0,0,0,0,0,0
Zr70Al8Cu6Ni16,As cast,8.0,631.0,705.0,,,,,Zr70.0Ni16.0Al8.0Cu6.0,70.0,0.0,8.0,0.0,6.0,0.0,16.0,0,0,0,0,0,0
Zr70Al8Cu3Ni19,As cast,1.0,640.0,710.0,,,,,Zr70.0Ni19.0Al8.0Cu3.0,70.0,0.0,8.0,0.0,3.0,0.0,19.0,0,0,0,0,0,0
(Zr0.62Cu0.23Fe0.05Al0.10)100,As cast,3.0,651.0,751.0,1186.0,1427,75.0,1.3,Zr62.0Cu23.0Al10.0Fe5.0,62.0,0.0,10.0,5.0,23.0,0.0,0.0,0,0,0,0,0,0
(Zr0.62Cu0.23Fe0.05Al0.10)99Ag1,As cast,4.0,656.0,753.0,1175.0,1487,72.0,1.7,Zr61.38Cu22.77Al9.9Fe4.95Ag1.0,61.38,0.0,9.9,4.95,22.77,1.0,0.0,0,0,0,0,0,0
(Zr0.62Cu0.23Fe0.05Al0.10)97Ag3,As cast,10.0,658.0,743.0,1181.0,1398,68.0,5.2,Zr60.14Cu22.31Al9.7Fe4.85Ag3.0,60.14,0.0,9.700000000000001,4.8500000000000005,22.310000000000002,3.0,0.0,0,0,0,0,0,0
(Zr0.62Cu0.23Fe0.05Al0.10)95Ag5,As cast,5.0,663.0,747.0,1189.0,1437,72.0,2.2,Zr58.9Cu21.85Al9.5Ag5.0Fe4.75,58.9,0.0,9.5,4.75,21.85,5.0,0.0,0,0,0,0,0,0
(Zr0.62Cu0.23Fe0.05Al0.10)93Ag7,As cast,4.0,664.0,751.0,1191.0,1482,71.0,1.5,Zr57.66Cu21.39Al9.3Ag7.0Fe4.65,57.66,0.0,9.3,4.65,21.39,7.0,0.0,0,0,0,0,0,0
Cu60Zr30Ti10,Injection-cast,2.0,724.0,746.0,1175.0,1800,100.0,1.4,Cu60.0Zr30.0Ti10.0,30.0,10.0,0.0,0.0,60.0,0.0,0.0,0,0,0,0,0,0
Cu55Ni5Zr30Ti10,Injection-cast,2.0,717.0,750.0,1204.0,1800,100.0,1.2,Cu55.0Zr30.0Ti10.0Ni5.0,30.0,10.0,0.0,0.0,55.0,0.0,5.0,0,0,0,0,0,0
