Alloy,Tg (K),Tx (K),Tl (K),Dmax (mm)
Zr70Al8Cu19Ni3,630,689,1200,0.2
Zr70Al8Cu3Ni19,640,710,1220,0.2
Ti50Cu42.5Ni7.5,670,708,1226,0.2
Ag46.2Mg15.4Ca38.4,407,439,809,0.3
Ag53.8Mg7.7Ca30.8Cu7.7,428,488,843,0.3
Mg70Ni20La10,447,475,791,0.4
Au55Cu25Si20,348,383,654,0.5
Ca70Mg20Cu10,356,385,702,0.5
Ca70Mg10Zn20,367,399,657,0.5
Ca70Mg15Zn15,371,397,688,0.5
Ca60Mg10Zn30,380,400,666,0.5
Ca65Mg25Zn10,387,405,759,0.5
Ca55Mg15Zn30,387,419,696,0.5
Ca55Mg18Zn27,389,419,671,0.5
Ag38.4Mg30.8Ca30.8,394,426,805,0.5
Ca40Mg30Cu30,395,430,694,0.5
La70.0Al12.4(CuNi)17.6,397,418,759,0.5
Ca55Mg10Cu35,397,422,770,0.5
Ca45Mg19Cu36,399,428,714,0.5
Cu54.5Mg27.3Ca18.2,402,419,921,0.5
Ca65Mg5Cu30,403,424,757,0.5
La70Al14(CuNi)16,404,429,763,0.5
Ca65Mg25Cu10,405,429,691,0.5
Ag38.4Mg38.5Ca15.4Cu7.7,405,436,842,0.5
Ag53.8Mg23.1Ca15.4Cu7.7,407,463,877,0.5
Ag53.8Mg15.4Ca23.1Cu7.7,433,463,831,0.5
Ag61.5Mg23.1Ca15.4,440,485,919,0.5
Mg69Ni18La13,449,478,797,0.5
Mg71Ni18La11,451,479,796,0.5
Mg65Ni20La15,451,480,812,0.5
Cu47Ti33Nb11Ni8Si1,710,732,1265,0.5
Ni42Ti20Zr25Al8Cu5,748,803,1366,0.5
(Ni0.75B0.2Si0.05)96Nb4,770,795,1446,0.5
(Fe0.75B0.15Si0.10)99Nb1,815,858,1455,0.5
Ni60Nb20Zr20,853,891,1391,0.5
Mg80Ni10Nd10,454,471,878,0.6
Zr45Ti21Ni34,642,683,1134,0.68
Ag46.2Mg23.1Ca30.7,399,426,765,0.7
Ag53.8Mg23.1Ca23.1,451,488,887,0.7
Ag61.5Mg15.4Ca23.1,486,526,920,0.7
Pd79.5Cu4Si16.5,635,675,1086,0.75
(Fe0.75B0.15Si0.10)99Zr1,867,919,1469,0.75
Ag46.2Mg15.4Ca30.7Cu7.7,414,445,805,0.8
Ag53.8Mg15.4Ca30.8,444,498,812,0.8
Ce70Al10Cu19Zn1,343,391,743,1
Ce70Al15Ni15,368,387,738,1
Ce70Al10Ni20,373,399,775,1
Ce60Al10Cu20Ni10,374,441,672,1
Ca55Mg25Zn20,375,418,751,1
Ca60Mg25Zn15,377,409,744,1
Ca55Mg11Zn11Cu23,379,430,717,1
Ca70Mg10Cu20,385,407,713,1
Ca60Mg13Cu27,394,426,701,1
Au46Ag5Cu29Si20,395,420,664,1
Ca60Mg15Cu25,396,428,687,1
La68.0Al13.2(CuNi)18.8,400,426,743,1
Cu54.5Mg18.2Ca27.3,401,423,884,1
Ca45Mg30Cu25,401,436,717,1
Mg65Cu20Y10Zn5,404,456,748,1
La68Al14(CuNi)18,405,431,724,1
Mg65Cu25Pr10,413,446,784,1
Mg65Cu25Ho10,417,473,751,1
Mg65Cu25Nd10,423,456,744,1
Ce60Al20Co20,424,468,798,1
Ce55Al25Cu20,439,479,825,1
Ag50Mg11.5Ca30.8Cu7.7,452,487,809,1
