Alloys,Tg (K),Tx (K),Tl (K),Rc (K/s),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,10
Zr66Al8Ni26,672,707.6,1251,66.6,0.53717,35.6,0.36797,0.59408,0.06149,1.2221,0.3529,0.56563,1.5901,1.6103,0.25078
Zr66Al8Cu7Ni19,662.3,720.7,1200.8,22.7,0.55155,58.4,0.38683,0.64882,0.10845,1.3383,0.38974,0.60018,1.6397,2.0708,0.208
Zr66Al8Cu12Ni14,655.1,732.5,1172.1,9.8,0.55891,77.4,0.40089,0.69098,0.14971,1.4168,0.41181,0.62495,1.6771,2.4831,0.17728
Zr66Al9Cu16Ni9,657.2,736.7,1170.6,4.1,0.56142,79.5,0.40305,0.69725,0.15485,1.4349,0.41506,0.62934,1.6824,2.5716,0.17297
Zr65Al7.5Cu17.5Ni10,656.5,735.6,1167.6,1.5,0.56226,79.1,0.40327,0.69776,0.15476,1.4392,0.41545,0.63001,1.6828,2.5877,0.17266
Zr57Ti5Al10Cu20Ni8,676.7,720,1145.2,10,0.5909,43.3,0.39519,0.66652,0.09242,1.5368,0.39883,0.62871,1.6549,2.6949,0.19701
Zr38.5Ti16.5Ni9.75Cu15.25Be20,630,678,1003,1.4,0.62812,48,0.41519,0.72383,0.12869,1.8177,0.43466,0.67597,1.7043,4.0439,0.15762
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,629,686,1006,1.4,0.62525,57,0.41957,0.73857,0.15119,1.8196,0.44354,0.68191,1.7159,4.2138,0.14749
Zr41.2Ti13.8Cu12.5Ni10Be22.5,623,672,996,1.4,0.6255,49,0.41507,0.7239,0.13137,1.8016,0.43483,0.6747,1.7042,3.9881,0.15747
Zr42.63Ti12.37Cu11.25Ni10Be23.75,623,712,1057,5,0.5894,89,0.42381,0.75781,0.20507,1.6406,0.44624,0.6736,1.7323,3.7267,0.13333
Zr44Ti11Cu10Ni10Be25,625,739,1206,12.5,0.51824,114,0.4036,0.7073,0.19621,1.2719,0.40631,0.61277,1.7006,2.1178,0.16305
Zr45.38Ti9.62Cu8.75Ni10Be26.25,623,740,1239,17.5,0.50282,117,0.39742,0.69169,0.18994,1.2013,0.39587,0.59726,1.6906,1.8515,0.17272
Zr46.75Ti8.25Cu7.5Ni10Be27.5,622,727,1185,28,0.52489,105,0.40232,0.70211,0.1865,1.2913,0.407,0.6135,1.6937,2.1557,0.16714
La55Al25Ni15Cu5,473.6,541.2,899.6,34.5,0.52646,67.6,0.39412,0.67675,0.15869,1.2704,0.39853,0.6016,1.6692,1.9954,0.18532
La55Al25Ni10Cu10,467.4,547.2,835,22.5,0.55976,79.8,0.42015,0.7509,0.21708,1.4886,0.43473,0.65533,1.7305,3.0878,0.13641
La55Al25Ni5Cu15,459.1,520,878.1,35.9,0.52283,60.9,0.38887,0.66154,0.14535,1.2411,0.39166,0.59219,1.6555,1.8617,0.19623
La55Al25Ni5Cu10Co5,465.2,541.8,822.5,18.8,0.56559,76.6,0.42075,0.75185,0.21439,1.5164,0.43699,0.65872,1.7303,3.1989,0.13609
Pd40Cu30Ni10P20,586,660,856,0.1,0.68458,74,0.4577,0.85748,0.27407,2.4444,0.50923,0.77103,1.8109,10.068,0.07512
Ti34Zr11Cu47Ni8,698.4,727.2,1169.2,100,0.59733,28.8,0.38938,0.6466,0.06117,1.5446,0.37862,0.62196,1.6386,2.5996,0.21248
Ni,425,425,1725,3.00E+10,0.24638,0,0.19767,0.24638,0,0.3269,0,0.24638,1.2464,0.1069,0.60465
Fe91B9,600,600,1628,2.60E+07,0.36855,0,0.2693,0.36855,0,0.5837,0,0.36855,1.3686,0.3407,0.4614
Pd95Si5,647,647,1688,5.00E+07,0.38329,0,0.27709,0.38329,0,0.6215,0,0.38329,1.3833,0.3863,0.44582
Pd75Si25,656,656,1343,1.00E+06,0.48846,0,0.32816,0.48846,0,0.9549,0,0.48846,1.4885,0.9118,0.34367
Zr65Be35,623,623,1238,1.00E+07,0.50323,0,0.33477,0.50323,0,1.013,0,0.50323,1.5032,1.0262,0.33047
Ti63Be37,673,673,1353,6.30E+06,0.49741,0,0.33218,0.49741,0,0.9897,0,0.49741,1.4974,0.9795,0.33564
Pd82Si18,648,648,1071,1800,0.60504,0,0.37696,0.60504,0,1.5319,0,0.60504,1.605,2.3468,0.24607
