Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Cu55Zr42.5Ga2.5 [24],709,762,1199,1,0.59133,53,0.39937,0.67973,0.10816,1.5551,0.40809,0.63553,1.6661,2.829,5.3402
Cu57.5Zr37.5Ga5 [24],745,785,1241,1,0.60032,40,0.39527,0.66479,0.08065,1.5827,0.39515,0.63255,1.654,2.8125,5.0304
Cu52.5Zr40Ga7.5 [24],744,777,1218,1.5,0.61084,33,0.39602,0.66502,0.06962,1.6392,0.39124,0.63793,1.6552,2.9725,5.0221
Cu55Zr40Ga5 [24],736,779,1193,2,0.61693,43,0.40384,0.68902,0.09409,1.7046,0.41102,0.65298,1.6754,3.3451,5.5032
Cu52.5Zr42.5Ga5 [24],733,777,1187,2,0.61752,44,0.40469,0.69166,0.09692,1.7115,0.41301,0.65459,1.6776,3.3881,5.5608
Cu46Zr54 [24],696,746,1201,2,0.57952,50,0.39325,0.66278,0.09901,1.4772,0.39767,0.62115,1.6514,2.508,5.0204
Cu46Zr47Al7 [24],705,781,1163,3,0.60619,76,0.41809,0.73689,0.16594,1.7052,0.44083,0.67154,1.714,3.7732,6.7627
Cu46Zr37Al7Y10 [24],665,743,1118,4,0.59481,78,0.41671,0.73435,0.17219,1.6402,0.43781,0.66458,1.7121,3.5136,6.7075
Cu46Zr45Al7Y2 [24],693,770,1143,8,0.6063,77,0.41939,0.74103,0.17111,1.7111,0.44282,0.67367,1.7174,3.8354,6.8919
Cu46Zr42Al7Y5 [24],672,772,1113,10,0.60377,100,0.43249,0.78347,0.22676,1.7506,0.45979,0.69362,1.7526,4.4615,8.5088
Cu60Hf25Ti15 [24],730,790,1177,4,0.62022,60,0.41426,0.72218,0.13423,1.7673,0.43388,0.6712,1.7024,3.8506,6.3111
Cu52.5Hf40Al7.5 [24],779,833,1250,3,0.6232,54,0.41055,0.7096,0.11465,1.7686,0.42547,0.6664,1.6925,3.7317,5.977
Cu60Zr30Ti10 [24],720,757,1160,4,0.62069,37,0.40266,0.68448,0.08409,1.7205,0.406,0.65259,1.6721,3.356,5.4006
Cu47Ti33Zr11Si1Ni6Sn2 [24],720,765,1140,6,0.63158,45,0.41129,0.71053,0.10714,1.8214,0.42485,0.67105,1.6941,3.9168,5.9886
Cu50Zr43Al7 [24],721,792,1176,4,0.6131,71,0.4175,0.73384,0.15604,1.7407,0.44012,0.67347,1.7116,3.8726,6.6575
Cu47Zr43Al7Ag3 [24],716,795,1156,5,0.61938,79,0.42468,0.75606,0.17955,1.8068,0.45192,0.68772,1.7297,4.3678,7.3707
Cu47Zr43Al7Be3 [24],715,798,1139,6,0.62774,83,0.43042,0.77349,0.19575,1.8821,0.46137,0.70061,1.7438,4.9068,8.0202
Cu43Zr43Al7Ag7 [24],710,797,1125,8,0.63111,87,0.43433,0.78578,0.20964,1.9205,0.46744,0.70844,1.7536,5.2598,8.5471
Cu43Zr43Al7Be7 [24],710,813,1126,12,0.63055,103,0.44281,0.8135,0.2476,1.9543,0.47844,0.72202,1.7756,5.892,10.011
