REF,AAA-System,AAAAlloys,AAAAAAProcessing Condition,PHASE,Phase,H    ev/atom,Hf  kJ/mol,Hmix,Smix/R,Delta,HV,Modulus (GPa),yield(MPa),compressive stregth,Ε(%),Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Ge,Hf,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Pr,Rh,Ru,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,W,Y,Yb,Zn,Zr
1,Ag-Al-Co-Cr-Cu-Ni,AgAlCoCrCuNi,AC,SS+IM,2FCC+B2,-0.236,-22.77,2,-1.791759469,6.587588285,451,,,,,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Al-Au-Co-Cr-Cu-Ni,AlAuCoCrCuNi,AC,SS+IM,FCC+L10,-0.254,-24.51,-6.4444,-1.791759469,6.534281002,276,,,,,0,0.166666667,0.166666667,0,0,0,,,0.166666667,0.166666667,0.166666667,0,,0,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
1,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCuFeNI,AC,SS,BCC+FCC+B2,-0.538,-51.91,-4.7778,-1.791759469,5.281130599,416,,,,,0,0.166666667,0,0,0,0,,,0.166666667,0.166666667,0.166666667,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
1,Al-Co-Cr-Cu-Ni,AlCoCrCuNi,AC,SS+IM,BCC+FCC+B2,-0.283,-27.31,-6.56,-1.609437912,5.524205055,419,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.2,0,,0,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
2,Al-B-Co-Cr-Cu-Fe-Ni,Al0.5BCoCrCuFeNi,AC,IM,L10+IM,-0.305,-29.43,-11.0296,-1.925121191,14.10230906,736,,,,,0,0.076923077,0,0.153846154,0,0,,,0.153846154,0.153846154,0.153846154,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
2,Al-B-Co-Cr-Cu-Fe-Ni,Al0.5B0.6CoCrCuFeNi,AC,SS+IM,FCC+IM,-0.262,-25.28,-8.0086,-1.915349257,11.66606866,505,,,,,0,0.081967213,0,0.098360656,0,0,,,0.163934426,0.163934426,0.163934426,0,,0.163934426,,0,0,0,,0,0,0,0,0,0,0,0.163934426,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
2,Al-B-Co-Cr-Cu-Fe-Ni,Al0.5B0.2CoCrCuFeNi,AC,SS+IM,FCC+IM,-0.202,-19.49,-4.0012,-1.857740065,7.790301102,415,,,,,0,0.087719298,0,0.035087719,0,0,,,0.175438596,0.175438596,0.175438596,0,,0.175438596,,0,0,0,,0,0,0,0,0,0,0,0.175438596,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
2,Al-Co-Cr-Cu-Fe-Ni,Al0.5CoCrCuFeNi,AC,SS,FCC,-0.169,-16.31,-1.5207,-1.767761472,4.169207861,298,,,,,0,0.090909091,0,0,0,0,,,0.181818182,0.181818182,0.181818182,0,,0.181818182,,0,0,0,,0,0,0,0,0,0,0,0.181818182,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC1.0CoCrFeNi,AC,SS+IM,BCC+Graphite+��,-0.286,-27.59,-33.8889,-1.791759469,16.85609558,,75.1,1251,2166,7.04,0,0.166666667,0,0,0,0.166666667,,,0.166666667,0.166666667,0,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC1.5CoCrFeNi,AC,SS+IM,BCC+Graphite+��,-0.264,-25.47,-39.6686,-1.778233306,19.28352213,,72.5,1255,2083,5.54,0,0.153846154,0,0,0,0.230769231,,,0.153846154,0.153846154,0,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0.153846154,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC0.5CoCrFeNi,AC,SS+IM,BCC+��,-0.309,-29.81,-25.2562,-1.767761472,13.17225701,,180.8,1060,2250,5.6,0,0.181818182,0,0,0,0.090909091,,,0.181818182,0.181818182,0,0,,0.181818182,,0,0,0,,0,0,0,0,0,0,0,0.181818182,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC0.4CoCrFeNi,AC,SS+IM,BCC+��,-0.313,-30.2,-23.0727,-1.754272341,12.16929417,,156.1,1056,2375,6.67,0,0.185185185,0,0,0,0.074074074,,,0.185185185,0.185185185,0,0,,0.185185185,,0,0,0,,0,0,0,0,0,0,0,0.185185185,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC0.3CoCrFeNi,AC,SS+IM,BCC+��,-0.313,-30.2,-20.7049,-1.735856225,11.0199694,,137.2,867,2178,7.82,0,0.188679245,0,0,0,0.056603774,,,0.188679245,0.188679245,0,0,,0.188679245,,0,0,0,,0,0,0,0,0,0,0,0.188679245,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC0.2CoCrFeNi,AC,SS+IM,BCC+��,-0.313,-30.2,-18.1361,-1.710560084,9.668804706,,150.9,906,2386,8.68,0,0.192307692,0,0,0,0.038461538,,,0.192307692,0.192307692,0,0,,0.192307692,,0,0,0,,0,0,0,0,0,0,0,0.192307692,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-C-Co-Cr-Fe-Ni,AlC0.1CoCrFeNi,AC,SS+IM,BCC+��,-0.311,-30.01,-15.3479,-1.674389267,8.009933435,,213.2,957,2550,10.52,0,0.196078431,0,0,0,0.019607843,,,0.196078431,0.196078431,0,0,,0.196078431,,0,0,0,,0,0,0,0,0,0,0,0.196078431,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
3,Al-Co-Cr-Fe-Ni,AlCoCrFeNi,AC,SS,BCC,-0.309,-29.81,-12.32,-1.609437912,5.777889559,,125.1,1138,,,0,0.2,0,0,0,0,,,0.2,0.2,0,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0.2,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,AlCoCrCuFe,AC,SS,FCC+BCC,-0.245,-23.64,-2.56,-1.609437912,5.579539691,407,,,,,0,0.2,0,0,0,0,,,0.2,0.2,0.2,0,,0.2,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al0.8CoCrCuFe,AC,SS,FCC+BCC,-0.215,-20.74,-1.3542,-1.60580651,5.237976417,271,,,,,0,0.166666667,0,0,0,0,,,0.208333333,0.208333333,0.208333333,0,,0.208333333,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
