GFA,Class
Ag35Ca65,BMG
Al33.6Ca66.4,BMG
B17Fe83,BMG
Cu46Zr54,BMG
Cu50Mg50,BMG
Cu50Zr50,BMG
Cu64Zr36,BMG
Mg50Ni50,BMG
Ni50Nb50,BMG
Ni50Zr50,BMG
Ni60Nb40,BMG
Ni60Nd40,BMG
Ni80P20,BMG
Pd80P20,BMG
Pd80Si20,BMG
Pd81Si19,BMG
Pd82Si18,BMG
Ti50Zr50,BMG
Ag10Al30Ca60,BMG
(Ca50Cu50)70Mg30,BMG
(Ca50Cu50)75Mg25,BMG
(Ce72Cu28)90Al10,BMG
(Cu50Zr50)90Al10,BMG
(Cu50Zr50)92Al8,BMG
(Cu50Zr50)94.5Al5.5,BMG
(Fe75Co25)83P17,BMG
(Fe75Cr25)83P17,BMG
(Fe75Mn25)83P17,BMG
(Fe75Ni25)83P17,BMG
(Fe85Cr15)83P17,BMG
(Fe85Mo15)83P17,BMG
(Fe85Ni15)83P17,BMG
(Fe85V15)83P17,BMG
Ag38.4Mg30.8Ca30.8,BMG
Ag38.4Mg38.4Ca23.2,BMG
Ag46.2Mg15.4Ca38.4,BMG
Ag46.2Mg23.1Ca30.7,BMG
Ag46.2Mg30.7Ca23.1,BMG
Ag53.8Mg15.4Ca30.8,BMG
Ag53.8Mg23.1Ca23.1,BMG
Ag61.5Mg15.4Ca23.1,BMG
Ag61.5Mg23.1Ca15.4,BMG
Al25Gd55Ni20,BMG
Al82Ni10Ce8,BMG
Al84Ni10Ce6,BMG
Al84Ni10Er6,BMG
Al84Ni10Gd6,BMG
Al84Ni10Y6,BMG
Al86Ni9La5,BMG
Au55Cu25Si20,BMG
Au77.8Ge13.8Si8.4,BMG
B10Co75Si15,BMG
B17Ni75Si8,BMG
C7Fe80P13,BMG
Ca30Mg25Cu45,BMG
Ca35Mg25Cu40,BMG
Ca40Mg25Cu35,BMG
Ca40Mg30Cu30,BMG
Ca45Mg19Cu36,BMG
Ca45Mg25Cu30,BMG
Ca45Mg30Cu25,BMG
Ca47.5Mg22.5Cu30,BMG
Ca48Mg27Cu25,BMG
Ca50Mg20Cu30,BMG
Ca50Mg22.5Cu27.5,BMG
Ca50Mg25Cu25,BMG
Ca50Mg30Cu20,BMG
Ca53Mg23Cu24,BMG
Ca55Mg10Cu35,BMG
Ca55Mg15Cu30,BMG
Ca55Mg15Zn30,BMG
Ca55Mg18Zn27,BMG
Ca55Mg20Cu25,BMG
Ca55Mg20Zn25,BMG
Ca55Mg25Cu20,BMG
Ca55Mg25Zn20,BMG
Ca57Mg19Cu24,BMG
Ca58Mg18Cu24,BMG
Ca60Mg10Zn30,BMG
Ca60Mg13Cu27,BMG
Ca60Mg15Cu25,BMG
Ca60Mg15Zn25,BMG
Ca60Mg17.5Zn22.5,BMG
Ca60Mg20Cu20,BMG
Ca60Mg20Zn20,BMG
Ca60Mg25Cu15,BMG
Ca60Mg25Zn15,BMG
Ca62.5Mg17.5Zn20,BMG
Ca63Al32Cu5,BMG
Ca65Mg10Cu25,BMG
Ca65Mg10Zn25,BMG
Ca65Mg15Cu20,BMG
Ca65Mg15Zn20,BMG
Ca65Mg20Cu15,BMG
Ca65Mg20Zn15,BMG
Ca65Mg25Cu10,BMG
Ca65Mg25Zn10,BMG
Ca65Mg5Cu30,BMG
Ca70Mg10Cu20,BMG
Ca70Mg10Zn20,BMG
Ca70Mg15Zn15,BMG
Ca70Mg20Cu10,BMG
Ce55Al25Co20,BMG
Ce60Al20Cu20,BMG
Ce70Al10Cu20,BMG
Ce70Al15Cu15,BMG
Co56Ta9B35,BMG
Co58Ta7B35,BMG
Cu33.3Mg33.3Ca33.3,BMG
Cu36.4Mg27.2Ca36.4,BMG
Cu36.4Mg31.8Ca31.8,BMG
Cu36.4Mg36.4Ca27.2,BMG
Cu40.9Mg18.2Ca40.9,BMG
Cu40.9Mg22.7Ca36.4,BMG
Cu40.9Mg27.3Ca31.8,BMG
Cu40.9Mg31.8Ca27.3,BMG
Cu40.9Mg36.4Ca22.7,BMG
Cu42Zr42Ag16,BMG
Cu44Zr44Ag12,BMG
Cu45.5Mg18.1Ca36.4,BMG
Cu45.5Mg22.7Ca31.8,BMG
Cu45.5Mg27.3Ca27.2,BMG
Cu45.5Mg31.8Ca22.7,BMG
Cu45.5Mg36.4Ca18.1,BMG
Cu45.5Mg9.0Ca45.5,BMG
